Nombre Reactor;Pais;Ciudad;Tipo;Potencia Térmica (KW);Estado;Fecha Primera Reacción
TRICO II;Democratic Republic of the Congo;Kinshasa;TRIGA MARK II;1000;EXTENDED SHUTDOWN;1972-03-24T00:00:00
NUR;Algeria;Algiers;POOL;1000;OPERATIONAL;1989-03-24T00:00:00
ES-SALAM;Algeria;Djelfa;HEAVY WATER;15000;OPERATIONAL;1992-02-17T00:00:00
HOR;Netherlands, Kingdom of the;Delft;POOL;2300;OPERATIONAL;1963-04-25T00:00:00
VR-2;Czech Republic;Prague;SUBCRIT;0;OPERATIONAL;NA
RFR;Germany;Dresden / Rossendorf;TANK WWR;10000;DECOMMISSIONED;1957-12-16T00:00:00
RAKE;Germany;Dresden/Rossendorf;TANK;0.01;DECOMMISSIONED;1969-10-03T00:00:00
RRR;Germany;Dresden/Rossendorf;ARGONAUT;1;DECOMMISSIONED;1962-12-16T00:00:00
SNEAK;Germany;Karlsruhe;HOMOG (S);0.001;DECOMMISSIONED;1966-12-01T00:00:00
SAR;Germany;Munich;ARGONAUT;1;DECOMMISSIONED;1959-06-01T00:00:00
STARK;Germany;Karlsruhe;ARGONAUT;0.01;DECOMMISSIONED;1963-01-01T00:00:00
SUA;Germany;Munich;SUBCRIT;0;DECOMMISSIONED;1959-06-01T00:00:00
SUAK;Germany;Karlsruhe;SUBCRIT;0;DECOMMISSIONED;1964-11-20T00:00:00
SUR Berlin;Germany;Berlin;HOMOG (S);0;DECOMMISSIONED;1963-07-01T00:00:00
SUR Bremen;Germany;Bremen;HOMOG (S);0;DECOMMISSIONED;1967-10-10T00:00:00
SUR Darmstadt;Germany;Darmstadt;HOMOG (S);0;DECOMMISSIONED;1963-09-01T00:00:00
SUR Hamburg;Germany;Hamburg;HOMOG (S);0;DECOMMISSIONED;1965-01-06T00:00:00
SUR Hannover;Germany;Hannover;HOMOG (S);0.001;DECOMMISSIONED;1971-12-09T00:00:00
SUR Karlsruhe;Germany;Karlsruhe;HOMOG (S);0;DECOMMISSIONED;1966-03-07T00:00:00
SUR Kiel;Germany;Kiel;HOMOG (S);0;DECOMMISSIONED;1966-03-29T00:00:00
SUR Munich;Germany;Munich;HOMOG (S);0;DECOMMISSIONED;1962-02-01T00:00:00
TRIGA HD I;Germany;Heidelberg;TRIGA MARK I;250;DECOMMISSIONED;1966-08-01T00:00:00
TRIGA HD II;Germany;Heidelberg;TRIGA MARK I;250;DECOMMISSIONED;1978-02-28T00:00:00
ZLFR;Germany;Zittau;TANK;0.01;DECOMMISSIONED;1979-05-25T00:00:00
FRH;Germany;Hannover;TRIGA MARK I;250;DECOMMISSIONED;1973-01-31T00:00:00
FRJ-1 (MERLIN);Germany;Jülich;POOL;10000;DECOMMISSIONED;1962-02-24T00:00:00
KAHTER;Germany;Jülich;CRIT ASSEMBLY;0.1;DECOMMISSIONED;1973-07-02T00:00:00
NS Otto Hahn;Germany;Geesthacht;PWR PROPULSION;38000;DECOMMISSIONED;1968-08-26T00:00:00
KEITER;Germany;Jülich;CRIT ASSEMBLY;0.001;DECOMMISSIONED;1971-06-15T00:00:00
PR-10 AEG Prüfreaktor;Germany;Karlstein am Main;ARGONAUT;0.18;DECOMMISSIONED;1961-01-01T00:00:00
FMRB;Germany;Braunschweig;POOL;1000;UNDER DECOMMISSIONING;1967-10-03T00:00:00
FR-2;Germany;Karlsruhe;TANK;44000;UNDER DECOMMISSIONING;1961-03-07T00:00:00
FRG-1;Germany;Geesthacht;POOL;5000;UNDER DECOMMISSIONING;1958-10-23T00:00:00
FRG-2;Germany;Geesthact;POOL;15000;UNDER DECOMMISSIONING;1963-03-15T00:00:00
FRM;Germany;Garching / Munich;POOL;4000;UNDER DECOMMISSIONING;1957-10-31T00:00:00
FRN;Germany;Munich;TRIGA MARK III;1000;UNDER DECOMMISSIONING;1972-08-23T00:00:00
BER-I;Germany;Berlin;HOMOG (L);50;DECOMMISSIONED;1958-07-24T00:00:00
FRF-2;Germany;Frankfurt am Main;TRIGA CONV;1000;DECOMMISSIONED;1977-10-01T00:00:00
FRF-1;Germany;Frankfurt am Main;HOMOG;50;DECOMMISSIONED;1958-01-01T00:00:00
FRM II;Germany;Garching bei München;POOL;20000;TEMPORARY SHUTDOWN;2004-03-02T00:00:00
FRJ-2 (DIDO);Germany;Jülich;HEAVY WATER;23000;UNDER DECOMMISSIONING;1962-11-14T00:00:00
Masurca;France;Saint-Paul-lès-Durance;CRIT FAST;5;UNDER DECOMMISSIONING;1966-12-14T00:00:00
Isis;France;Gif-sur-Yvette;POOL;700;UNDER DECOMMISSIONING;1966-04-28T00:00:00
IRT-MEPhI;Russian Federation;Moscow;POOL, IRT;2500;OPERATIONAL;1967-05-26T00:00:00
PIK;Russian Federation;Saint-Petersburg;TANK;100000;OPERATIONAL;NA
IRT-T;Russian Federation;Tomsk;POOL, IRT;6000;OPERATIONAL;1967-07-22T00:00:00
PRR-1;Philippines;Quezon City;SUBCRIT;0;OPERATIONAL;NA
REACTOR JULES HOROWITZ;France;Saint-Paul-les-Durance;TANK IN POOL;100000;UNDER CONSTRUCTION;NA
Stend-7;Russian Federation;Electrostal;CRIT ASSEMBLY;0.7;DECOMMISSIONED;1979-01-01T00:00:00
FS-2;Russian Federation;Moscow;SUBCRIT;0.2;OPERATIONAL;1972-10-17T00:00:00
WWR-M;Russian Federation;Gatchina;TANK WWR;18000;EXTENDED SHUTDOWN;1959-12-29T00:00:00
PIK Physical Model;Russian Federation;Gatchina;CRIT ASSEMBLY;0.1;OPERATIONAL;1983-12-26T00:00:00
BFS-1;Russian Federation;Obninsk;CRIT ASSEMBLY;0.2;OPERATIONAL;1962-02-20T00:00:00
659-L;Russian Federation;Nizhny Novgorod;CRIT ASSEMBLY;0;DECOMMISSIONED;1979-01-01T00:00:00
Stend-6;Russian Federation;Electrostal;CRIT ASSEMBLY;0.05;DECOMMISSIONED;1968-01-01T00:00:00
Stend-3;Russian Federation;Electrostal;CRIT ASSEMBLY;2;DECOMMISSIONED;1967-01-01T00:00:00
Stend-2;Russian Federation;Electrostal;CRIT ASSEMBLY;2;DECOMMISSIONED;1969-01-01T00:00:00
Stend-1;Russian Federation;Electrostal;CRIT ASSEMBLY;2;DECOMMISSIONED;1966-01-01T00:00:00
SGO;Russian Federation;Obninsk;CRIT ASSEMBLY;0.1;DECOMMISSIONED;1969-01-01T00:00:00
RF-GS;Russian Federation;Obninsk;CRIT ASSEMBLY;0.01;DECOMMISSIONED;1962-01-01T00:00:00
COBRA;Russian Federation;Obninsk;CRIT ASSEMBLY;0.3;DECOMMISSIONED;1970-01-01T00:00:00
BR-1;Russian Federation;Obninsk;CRIT ASSEMBLY;0.05;DECOMMISSIONED;1965-01-01T00:00:00
AMBF-2;Russian Federation;Obninsk;CRIT ASSEMBLY;0.1;DECOMMISSIONED;1984-11-22T00:00:00
STRELA;Russian Federation;Obninsk;CRIT ASSEMBLY;0.02;DECOMMISSIONED;1968-08-14T00:00:00
BFS-2;Russian Federation;Obninsk;CRIT ASSEMBLY;1;OPERATIONAL;1969-09-30T00:00:00
BARS-6;Russian Federation;Obninsk;PROMPT BURST;10;OPERATIONAL;1994-12-30T00:00:00
FG-5;Russian Federation;Obninsk;CRIT ASSEMBLY;0.1;DECOMMISSIONED;1967-01-01T00:00:00
27/VT;Russian Federation;Obninsk;FAST, POWER;70000;UNDER DECOMMISSIONING;1959-01-01T00:00:00
TOPAZ;Russian Federation;Obninsk;SPACE TEST;150;DECOMMISSIONED;1966-01-01T00:00:00
BR-10;Russian Federation;Obninsk;LOOP TYPE;8000;PERMANENT SHUTDOWN;1958-06-01T00:00:00
VENUS-F;Belgium;Mol;CRIT ASSEMBLY;0.1;OPERATIONAL;1964-04-30T00:00:00
Stend-5;Russian Federation;Electrostal;CRIT ASSEMBLY;0.3;OPERATIONAL;1967-04-20T00:00:00
IIN-3M;Russian Federation;Moscow;PROMPT BURST;0;DECOMMISSIONED;1972-01-01T00:00:00
TOPAZ-II (YENISEY);Russian Federation;Moscow;SPACE TEST;135;DECOMMISSIONED;1967-01-01T00:00:00
Stend-4;Russian Federation;Electrostal;CRIT ASSEMBLY;0.03;OPERATIONAL;1967-04-20T00:00:00
AM-1;Russian Federation;Obninsk;GRAPHITE;10000;UNDER DECOMMISSIONING;1954-06-15T00:00:00
BARS-3M;Russian Federation;Moscow;PROMPT BURST;0;DECOMMISSIONED;1988-01-01T00:00:00
27/VM;Russian Federation;Obninsk;PWR POWER;70000;UNDER DECOMMISSIONING;1956-03-01T00:00:00
BR-1;Belgium;Mol;GRAPHITE;1000;OPERATIONAL;1956-05-11T00:00:00
659;Russian Federation;Nizhny Novgorod;CRIT ASSEMBLY;0.1;OPERATIONAL;1963-06-15T00:00:00
1125;Russian Federation;Nizhny Novgorod;CRIT ASSEMBLY;0.6;OPERATIONAL;1975-11-17T00:00:00
TCA Tank Critical Assembly;Japan;Tokai-mura;CRIT ASSEMBLY;0.2;UNDER DECOMMISSIONING;1962-08-23T00:00:00
FCA;Japan;Tokai-mura;CRIT FAST;2;UNDER DECOMMISSIONING;1967-04-29T00:00:00
TIBR-1M;Russian Federation;Moscow;PROMPT BURST;0;DECOMMISSIONED;1976-01-01T00:00:00
IFR (IBR-1);Russian Federation;Moscow;FAST;6;DECOMMISSIONED;1960-06-01T00:00:00
IBR-30;Russian Federation;Dubna;FAST, PULSED;25;DECOMMISSIONED;1969-01-01T00:00:00
BARS-2;Russian Federation;Moscow;PROMPT BURST;0;DECOMMISSIONED;1971-01-01T00:00:00
IR-50;Russian Federation;Moscow;POOL;50;PERMANENT SHUTDOWN;1961-02-20T00:00:00
WWR-TS;Russian Federation;Obninsk;TANK WWR;15000;OPERATIONAL;1964-11-04T00:00:00
IBR-2M;Russian Federation;Dubna;FAST, PULSED;2000;OPERATIONAL;1978-12-15T00:00:00
BARS-4;Russian Federation;Moscow;PROMPT BURST;10;TEMPORARY SHUTDOWN;1980-06-03T00:00:00
IRV-2M;Russian Federation;Moscow;POOL;4000;UNDER CONSTRUCTION;1974-12-28T00:00:00
TRACY;Japan;Tokai-Mura;PULSING;10;UNDER DECOMMISSIONING;1995-12-20T00:00:00
STACY;Japan;Tokai-Mura;CRIT ASSEMBLY;0.2;TEMPORARY SHUTDOWN;1995-02-23T00:00:00
IRT-Sofia;Bulgaria;Sofia;POOL, IRT;2000;PERMANENT SHUTDOWN;1961-09-18T00:00:00
TRIGA- MARK II LJUBLJANA;Slovenia;Ljubljana;TRIGA MARK II;250;OPERATIONAL;1966-05-31T00:00:00
ASTRA;Austria;Vienna;POOL;10000;DECOMMISSIONED;1960-09-24T00:00:00
SAR-Graz;Austria;Graz;ARGONAUT;10;DECOMMISSIONED;1965-05-17T00:00:00
TRIGA II VIENNA;Austria;Vienna;TRIGA MARK II;250;OPERATIONAL;1962-03-07T00:00:00
RSV TAPIRO;Italy;Rome;FAST SOURCE;5;OPERATIONAL;1971-04-04T00:00:00
Demokritos (GRR-1);Greece;Athens;POOL;5000;EXTENDED SHUTDOWN;1961-07-27T00:00:00
Ecole Polytechnique Subcritical Assembly;Canada;Montréal, QC;SUBCRIT;0.001;DECOMMISSIONED;1974-01-01T00:00:00
RANA;Italy;Rome;POOL;10;DECOMMISSIONED;1965-02-15T00:00:00
SLOWPOKE-2, Kanata;Canada;Ottawa;SLOWPOKE-2;20;DECOMMISSIONED;1984-06-06T00:00:00
PTR;Canada;Chalk River, ON;POOL;0.1;DECOMMISSIONED;1957-11-01T00:00:00
SLOWPOKE-2, Halifax;Canada;Halifax;SLOWPOKE-2;20;DECOMMISSIONED;1976-07-08T00:00:00
WR-1;Canada;Pinawa, MB;HEAVY WATER;60000;UNDER DECOMMISSIONING;1965-11-01T00:00:00
SLOWPOKE-2, Toronto;Canada;Toronto, ON;SLOWPOKE-2;20;DECOMMISSIONED;1971-06-05T00:00:00
SLOWPOKE, Alberta;Canada;Edmonton;SLOWPOKE-2;20;UNDER DECOMMISSIONING;1977-04-22T00:00:00
ZEEP;Canada;Chalk River, ON;HEAVY WATER;0.001;DECOMMISSIONED;1945-09-01T00:00:00
SLOWPOKE-2, RMC;Canada;Kingston, ON;SLOWPOKE-2;20;OPERATIONAL;1985-09-06T00:00:00
NRU;Canada;Chalk River;HEAVY WATER;135000;PERMANENT SHUTDOWN;1957-11-03T00:00:00
MAPLE 1;Canada;Chalk River, ON;TANK IN POOL;10000;PERMANENT SHUTDOWN;NA
MAPLE 2;Canada;Chalk River, ON;TANK IN POOL;10000;PERMANENT SHUTDOWN;NA
NRX;Canada;Chalk River;HEAVY WATER;42000;PERMANENT SHUTDOWN;1947-07-22T00:00:00
SLOWPOKE-2, Montreal;Canada;Montréal;SLOWPOKE-2;20;OPERATIONAL;1976-05-01T00:00:00
RB-3;Italy;Bologna;ZERO POWER D2O;0.1;DECOMMISSIONED;1971-08-09T00:00:00
AGN 211 P;Switzerland;Basel;HOMOG (S);2;DECOMMISSIONED;1959-08-01T00:00:00
RPI;Portugal;Lisbon;POOL;1000;PERMANENT SHUTDOWN;1961-04-25T00:00:00
IGR;Kazakhstan;Kurchatov;GRAPHITE, PULSE;0;OPERATIONAL;1960-06-01T00:00:00
NIRR-1;Nigeria;Zaria;MNSR;30;OPERATIONAL;2004-02-03T00:00:00
NIST;United States of America;Gaithersburg, Maryland;HEAVY WATER;20000;OPERATIONAL;1967-12-07T00:00:00
VR-1;Czech Republic;Prague;POOL;0.5;OPERATIONAL;1990-03-12T00:00:00
MNSR IAE;China;Beijing;MNSR;27;OPERATIONAL;1984-03-10T00:00:00
IHNI-1;China;Beijing;MNSR;30;OPERATIONAL;2009-12-07T00:00:00
RECH-1;Chile;Santiago;POOL;5000;OPERATIONAL;1974-10-13T00:00:00
RECH-2;Chile;Santiago;POOL;2000;EXTENDED SHUTDOWN;1989-09-06T00:00:00
FIR-1;Finland;Espoo;TRIGA MARK II;250;UNDER DECOMMISSIONING;1962-03-27T00:00:00
ZPR Fast;China;Beijing;CRIT FAST;0.05;EXTENDED SHUTDOWN;1970-06-29T00:00:00
PURNIMA-III;India;Mumbai;TANK;0.001;DECOMMISSIONED;1990-09-11T00:00:00
MNSR-SH;China;Shanghai;MNSR;30;DECOMMISSIONED;1991-12-18T00:00:00
MNSR-SD;China;Jinan;MNSR;33;DECOMMISSIONED;1989-05-01T00:00:00
HWRR-II;China;Beijing;HEAVY WATER;15000;UNDER DECOMMISSIONING;1958-09-01T00:00:00
ATR;United States of America;Idaho Falls;TANK;250000;OPERATIONAL;1967-07-02T00:00:00
TRIGA RC-1;Italy;Rome;TRIGA MARK II;1000;OPERATIONAL;1960-06-11T00:00:00
LENA, TRIGA II PAVIA;Italy;Pavia;TRIGA MARK II;250;OPERATIONAL;1965-11-15T00:00:00
VENUS-1;China;Beijing;SUBCRIT;0;OPERATIONAL;2005-07-18T00:00:00
CARR;China;Beijing;TANK IN POOL;60000;OPERATIONAL;2010-05-13T00:00:00
CEFR;China;Beijing;FAST BREEDER;65000;OPERATIONAL;2010-07-21T00:00:00
MNSR-SZ;China;Shenzhen;MNSR;30;OPERATIONAL;1988-11-01T00:00:00
SPR IAE;China;Beijing;POOL;3500;OPERATIONAL;1964-12-20T00:00:00
IIN-3M;Uzbekistan;Tashkent;HOMOG PUL;20;DECOMMISSIONED;1975-12-01T00:00:00
MARIA;Poland;Otwock;POOL;30000;OPERATIONAL;1974-12-18T00:00:00
Orphee;France;Gif-sur-Yvette;POOL;14000;PERMANENT SHUTDOWN;1980-12-19T00:00:00
BER-II;Germany;Berlin;POOL;10000;PERMANENT SHUTDOWN;1973-12-09T00:00:00
SM-3;Russian Federation;Dimitrovgrad;PRESSURE VESSEL;100000;OPERATIONAL;1961-01-10T00:00:00
OSURR Ohio State Univ.;United States of America;Columbus, OH;POOL;500;OPERATIONAL;1961-03-16T00:00:00
SRC SLOWPOKE, Saskatchewan;Canada;Saskatoon;SLOWPOKE-2;20;PERMANENT SHUTDOWN;1981-03-01T00:00:00
ENTC LWSCR;Iran, Islamic Republic of;Isfahan;SUBCRIT;0;OPERATIONAL;1992-01-01T00:00:00
Tehran Research Reactor (TRR);Iran, Islamic Republic of;Tehran;POOL;5000;OPERATIONAL;1967-11-01T00:00:00
ENTC HWZPR;Iran, Islamic Republic of;Isfahan;CRIT ASSEMBLY;0.1;OPERATIONAL;1995-06-01T00:00:00
ENTC MNSR;Iran, Islamic Republic of;Isfahan;MNSR;30;OPERATIONAL;1994-03-01T00:00:00
JEEP II;Norway;Kjeller;TANK;2000;PERMANENT SHUTDOWN;1966-12-01T00:00:00
WWR-SM Tashkent;Uzbekistan;Tashkent;TANK WWR;10000;OPERATIONAL;1959-09-10T00:00:00
MURR Univ. Missouri-Columbia;United States of America;Columbia, MO;TANK IN POOL;10000;OPERATIONAL;1966-10-13T00:00:00
KIPT Experimental Neutron Source;Ukraine;Kharkov;SUBCRIT;0.19;UNDER CONSTRUCTION;NA
Apsara;India;Mumbai;POOL;1000;DECOMMISSIONED;1956-08-04T00:00:00
Gidra (Hydra);Russian Federation;Moscow;HOMOG (L);10;OPERATIONAL;1971-11-24T00:00:00
Argus;Russian Federation;Moscow;HOMOG (L);20;OPERATIONAL;1981-11-02T00:00:00
RA-10;Argentina;Buenos Aires;POOL;30000;UNDER CONSTRUCTION;NA
Apsara-U;India;Mumbai;POOL;2000;OPERATIONAL;2018-09-10T00:00:00
RA-4;Argentina;Rosario;HOMOG (S);0.001;OPERATIONAL;1972-01-01T00:00:00
PLATR Pawling Lattice Test Rig;United States of America;Poughkeepsie, NY;CRIT ASSEMBLY;0.1;DECOMMISSIONED;1958-11-01T00:00:00
IRT-1;Libya;Tajoura;POOL, IRT;10000;TEMPORARY SHUTDOWN;1981-08-28T00:00:00
TNRC Critical Facility;Libya;Tajoura;CRIT ASSEMBLY;0.1;OPERATIONAL;NA
UFTR Univ. Florida;United States of America;Gainesville, FL;ARGONAUT;100;OPERATIONAL;1959-05-28T00:00:00
LWBCC Light Water Breeder;United States of America;West Mifflin, PA;CRIT ASSEMBLY;0.001;DECOMMISSIONED;1963-08-01T00:00:00
SR-305 Savannah River;United States of America;Aiken, SC;GRAPHITE;0.05;DECOMMISSIONED;1952-12-01T00:00:00
Clementine Fast Reactor;United States of America;Los Alamos, NM;FAST, HG COOLED;25;DECOMMISSIONED;1946-11-01T00:00:00
AFSR Argonne Fast Source;United States of America;Idaho Falls, ID;FAST;1;DECOMMISSIONED;1959-10-29T00:00:00
AETR Advanced Epithermal Thorium;United States of America;Simi Valley, CA;CRIT FAST;0.001;DECOMMISSIONED;1960-01-01T00:00:00
SP Standard Pile;United States of America;Aiken, SC;GRAPHITE PILE;10;DECOMMISSIONED;1953-07-25T00:00:00
PDP Process Development Pile;United States of America;Aiken, SC;HEAVY WATER;0.5;DECOMMISSIONED;1953-10-01T00:00:00
Planet;United States of America;Las Vegas, NV;CRIT ASSEMBLY;0;OPERATIONAL;1950-01-01T00:00:00
PTF Proof Test Facility;United States of America;Poughkeepsie, NY;CRIT ASSEMBLY;0.001;DECOMMISSIONED;1967-05-01T00:00:00
White Sands Fast Burst Reactor;United States of America;Las Cruces, NM;FAST BURST;10000;OPERATIONAL;1964-07-01T00:00:00
Mars;United States of America;Los Alamos, NM;CRIT ASSEMBLY;0.001;DECOMMISSIONED;1958-01-01T00:00:00
Bettis PWR Flexible Assembly;United States of America;West Mifflin, PA;CRIT ASSEMBLY;0.001;DECOMMISSIONED;1955-01-01T00:00:00
Westinghouse CRX Critical;United States of America;New Stanton, PA;HOMOG (S);2000;DECOMMISSIONED;1957-12-18T00:00:00
SL-1 Stationary Low Power;United States of America;Idaho Falls, ID;BWR POWER;3000;DECOMMISSIONED;1958-08-11T00:00:00
D1G Destroyer Prototype;United States of America;Ballston Spa, NY;PWR PROPULSION;0;DECOMMISSIONED;1961-03-01T00:00:00
TREAT;United States of America;Idaho Falls, ID;GRAPHITE, PULSE;80;OPERATIONAL;1959-02-23T00:00:00
JMTR;Japan;Oarai;TANK;50000;PERMANENT SHUTDOWN;1968-03-30T00:00:00
Phrenic;United States of America;Upton, NY;POOL;100;DECOMMISSIONED;1965-01-01T00:00:00
Schizo;United States of America;Upton, NY;POOL;100;DECOMMISSIONED;1958-05-19T00:00:00
WWR-K Almaty;Kazakhstan;Almaty;POOL;6000;OPERATIONAL;1967-10-22T00:00:00
FS-1 Brookhaven Fast Source;United States of America;Upton, NY;CRIT ASSEMBLY;1;DECOMMISSIONED;1967-08-01T00:00:00
High Flux RR;India;Visakhapatnam;POOL;40000;PLANNED;NA
Critical Facility for AHWR and PHWR;India;Mumbai;TANK;0.1;OPERATIONAL;2008-04-07T00:00:00
HBWR;Norway;Halden;HEAVY WATER;20000;PERMANENT SHUTDOWN;1959-06-29T00:00:00
PMA Plastic Mockup Assembly;United States of America;Schenectady, NY;CRIT ASSEMBLY;0.001;DECOMMISSIONED;1954-01-01T00:00:00
Minerve;France;Saint-Paul-lès-Durance;POOL;0.1;UNDER DECOMMISSIONING;1959-09-29T00:00:00
Éole;France;Saint-Paul-lès-Durance;TANK IN POOL;1;UNDER DECOMMISSIONING;1965-12-02T00:00:00
NRAD;United States of America;Idaho Falls, ID;TRIGA MARK II;250;OPERATIONAL;1977-10-12T00:00:00
PPA Preliminary Pile Assembly;United States of America;Schenectady, NY;CRIT ASSEMBLY;0.1;DECOMMISSIONED;1948-04-22T00:00:00
L-85 Nuclear Examination;United States of America;Simi Valley, CA;HOMOG (L);3;DECOMMISSIONED;1952-04-21T00:00:00
Aquilon;France;Gif-sur-Yvette;CRIT FAST;0.1;DECOMMISSIONED;1956-08-11T00:00:00
ZEUS;United Kingdom;Didcot;CRIT FAST;0.1;DECOMMISSIONED;1955-12-22T00:00:00
ZEPHYR;United Kingdom;Didcot;CRIT FAST;0.002;DECOMMISSIONED;1954-02-01T00:00:00
Univ. Illinois Advanced TRIGA;United States of America;Urbana, IL;TRIGA MARK II;1500;DECOMMISSIONED;1969-07-23T00:00:00
CP-1, Chicago Pile 1;United States of America;Chicago, IL;GRAPHITE PILE;0.2;DECOMMISSIONED;1942-12-02T00:00:00
ZPR-7 Argonne;United States of America;Lemont, IL;CRIT ASSEMBLY;0.01;DECOMMISSIONED;1957-07-03T00:00:00
LAPRE I;United States of America;Los Alamos, NM;HOMOG (L);2000;DECOMMISSIONED;1956-02-15T00:00:00
PCA Pool Critical Assembly;United States of America;Oak Ridge, TN;CRIT ASSEMBLY;10;PERMANENT SHUTDOWN;1958-04-01T00:00:00
TSR-II Tower Shielding;United States of America;Oak Ridge, TN;TANK;1000;PERMANENT SHUTDOWN;1960-03-26T00:00:00
TSR-1 Tower Shielding;United States of America;Oak Ridge, TN;TANK;500;DECOMMISSIONED;1954-03-12T00:00:00
MTR;United States of America;Idaho Falls, ID;TANK;40000;DECOMMISSIONED;1952-03-01T00:00:00
ML-1 Mobile Low Power Reactor;United States of America;Idaho Falls, ID;N2 COOLED;3300;DECOMMISSIONED;1961-03-01T00:00:00
UTR-1;United States of America;Mountain View, CA;ARGONAUT;0.001;DECOMMISSIONED;1958-06-01T00:00:00
BMRR Brookhaven Medical;United States of America;Upton, NY;TANK;3000;UNDER DECOMMISSIONING;1959-03-15T00:00:00
ORR, ORNL Research Reactor;United States of America;Oak Ridge, TN;TANK IN POOL;30000;UNDER DECOMMISSIONING;1958-03-01T00:00:00
OSTR, Oregon State Univ.;United States of America;Corvallis, OR;TRIGA MARK II;1100;OPERATIONAL;1967-03-08T00:00:00
Sandia SPR CX;United States of America;Albuquerque, NM;CRIT ASSEMBLY;0.001;OPERATIONAL;1989-10-24T00:00:00
AGN-201 Univ. New Mexico;United States of America;Albuquerque, NM;HOMOG (S);0.005;OPERATIONAL;1966-10-01T00:00:00
MUTR Univ. Maryland;United States of America;College Park, MD;TRIGA MODIFIED;250;OPERATIONAL;1960-12-01T00:00:00
NSCR Texas A&M Univ.;United States of America;College Station, TX;TRIGA CONV;1000;OPERATIONAL;1962-01-01T00:00:00
CRCE Cavity Reactor Critical Exp;United States of America;Idaho Falls, ID;HEAVY WATER;0.001;DECOMMISSIONED;1967-05-17T00:00:00
SPR III;United States of America;Las Vegas, NV;FAST BURST;10;PERMANENT SHUTDOWN;1975-08-26T00:00:00
PCA Plasma Core Assembly;United States of America;Los Alamos, NM;CRIT ASSEMBLY;0.1;DECOMMISSIONED;1974-01-01T00:00:00
SHEBA;United States of America;Los Alamos, NM;HOMOG (L);2;PERMANENT SHUTDOWN;1980-09-04T00:00:00
