Nombre Reactor;Pais;Ciudad;Tipo;Potencia Térmica (KW);Estado;Fecha Primera Reacción
L-47 Atomics International;United States of America;Los Angeles;HOMOG (L);0.005;DECOMMISSIONED;1957-12-01T00:00:00
L-77 Rockwell International;United States of America;Los Angeles;HOMOG (L);0.01;DECOMMISSIONED;1958-05-17T00:00:00
STIR Shield Test and Irradiation Reactor;United States of America;Santa Susana, CA;POOL;1000;DECOMMISSIONED;1964-08-01T00:00:00
OMR Organic Moderated Reactor;United States of America;Simi Valley, CA;CRIT ASSEMBLY;0.001;DECOMMISSIONED;1958-07-01T00:00:00
MCZPR Manhattan College;United States of America;New York, NY;POOL;0.001;DECOMMISSIONED;1964-03-24T00:00:00
KEWB Kinetic Experiment;United States of America;Santa Susana, CA;HOMOG (L);50;DECOMMISSIONED;1956-07-01T00:00:00
BMRC SUNY at Buffalo;United States of America;Buffalo, NY;POOL, PULSTAR;2000;UNDER DECOMMISSIONING;1964-06-22T00:00:00
AGN-201 Texas A&M Univ.;United States of America;College Station, TX;HOMOG (S);0.005;OPERATIONAL;1957-01-01T00:00:00
UC Irvine TRIGA;United States of America;Irvine, CA;TRIGA MARK I;250;OPERATIONAL;1969-11-25T00:00:00
AFRRI TRIGA;United States of America;Bethesda, MD;TRIGA MARK F;1000;OPERATIONAL;1962-01-01T00:00:00
Univ. Arizona TRIGA;United States of America;Tucson, AZ;TRIGA MARK I;100;DECOMMISSIONED;1958-12-06T00:00:00
BRR UC Berkeley;United States of America;Berkeley, CA;TRIGA MARK III;1000;DECOMMISSIONED;1966-08-10T00:00:00
Veterans Affairs RR;United States of America;Omaha, NE;TRIGA MARK I;20;DECOMMISSIONED;1959-06-26T00:00:00
APRFR Army Pulse Radiation;United States of America;Aberdeen, MD;FAST BURST;10;DECOMMISSIONED;1968-01-01T00:00:00
Cintichem Nuclear Reactor;United States of America;Tuxedo, NY;POOL;5000;DECOMMISSIONED;1961-09-08T00:00:00
GSTR US Geological Survey;United States of America;Denver;TRIGA MARK I;1000;OPERATIONAL;1969-02-26T00:00:00
TRIGA Mark II;United States of America;San Diego, CA;TRIGA MARK II;50;DECOMMISSIONED;1959-12-11T00:00:00
RINSC Rhode Island NSC;United States of America;Narragansett, RI;POOL;2000;OPERATIONAL;1964-07-28T00:00:00
AGN-211 Rice Univ.;United States of America;Houston, TX;HOMOG (S);0.005;DECOMMISSIONED;1959-01-01T00:00:00
SPR Stanford Univ.;United States of America;Palo Alto, CA;POOL;10;DECOMMISSIONED;1959-12-01T00:00:00
L-77 Univ. Puerto Rico;United States of America;Mayagüez, Puerto Rico;HOMOG (L);10;DECOMMISSIONED;1959-08-01T00:00:00
TRIGA Puerto Rico Nuclear Center;United States of America;Mayagüez, Puerto Rico;TRIGA CONV;2000;DECOMMISSIONED;1972-01-19T00:00:00
PUR-1 Purdue Univ.;United States of America;West Lafayette, IN;POOL;1;OPERATIONAL;1962-01-01T00:00:00
RRR Reed College;United States of America;Portland, OR;TRIGA MARK I;250;OPERATIONAL;1968-07-02T00:00:00
WRCF Rensselaer Polytechnic;United States of America;Schenectady, NY;CRIT ASSEMBLY;0.1;OPERATIONAL;1956-08-26T00:00:00
PSBR Penn St. Unv.;United States of America;State College, PA;TRIGA MARK CONV;1000;OPERATIONAL;1955-08-15T00:00:00
AGN-201 Polytechnic Inst. of New York;United States of America;New York, NY;HOMOG (S);0.001;DECOMMISSIONED;1968-06-20T00:00:00
TRIGA Cornell Univ;United States of America;Ithaca, NY;TRIGA MARK II;500;DECOMMISSIONED;1962-01-01T00:00:00
ZPR Cornell Zero Power;United States of America;Ithaca, NY;TANK;0.1;DECOMMISSIONED;1962-01-01T00:00:00
AGN-201 Cal Poly State Univ;United States of America;San Luis Obispo, CA;HOMOG (S);0.001;DECOMMISSIONED;1973-01-01T00:00:00
AGN-201 Catholic Univ;United States of America;Washington, D.C.;HOMOG (S);0.001;DECOMMISSIONED;1957-11-20T00:00:00
AGN-201 Oregon State Univ.;United States of America;Corvallis, OR;HOMOG (S);0.001;DECOMMISSIONED;1959-01-28T00:00:00
AGN-201 Tuskegee Inst.;United States of America;Tuskegee, AL;HOMOG (S);0.001;DECOMMISSIONED;1957-01-01T00:00:00
IRL;United States of America;Plainsboro, NJ;POOL;5000;DECOMMISSIONED;1958-12-01T00:00:00
Bettis TRX CA;United States of America;West Mifflin, PA;CRIT ASSEMBLY;0.01;DECOMMISSIONED;1953-01-01T00:00:00
HTTF Critical Assembly;United States of America;West Mifflin, PA;CRIT ASSEMBLY;0.001;DECOMMISSIONED;1959-01-01T00:00:00
GETR General Electric Test Reactor;United States of America;Pleasanton, CA;TANK;50000;PERMANENT SHUTDOWN;1958-12-01T00:00:00
EVESR Superheat Reactor;United States of America;Pleasanton, CA;BWR-PROTOTYPE;17000;UNDER DECOMMISSIONING;1963-07-01T00:00:00
Mixed Spectrum Superheat Crit Assembly;United States of America;Pleasanton, CA;CRIT ASSEMBLY;0.001;DECOMMISSIONED;1957-01-01T00:00:00
AGN-201 Georgia Tech;United States of America;Atlanta, GA;HOMOG (S);0.001;DECOMMISSIONED;1964-12-31T00:00:00
GTRR Georgia Tech;United States of America;Atlanta, GA;TANK;5000;DECOMMISSIONED;1964-12-31T00:00:00
ALRR Ames Laboratory;United States of America;Ames, IA;HEAVY WATER;5000;DECOMMISSIONED;1965-02-01T00:00:00
Super Kukla;United States of America;Las Vegas, NV;PROMPT BURST;0.001;DECOMMISSIONED;1964-01-01T00:00:00
SKUA Fast Burst;United States of America;Las Vegas, NV;FAST BURST;1;PERMANENT SHUTDOWN;1978-01-01T00:00:00
TACS Training Assembly Crit Safety;United States of America;Las Vegas, NV;CRIT ASSEMBLY;0;OPERATIONAL;1979-08-30T00:00:00
Little Eva;United States of America;Las Vegas, NV;CRIT FAST;0;DECOMMISSIONED;1952-01-01T00:00:00
BYU L-77 Brigham Young Univ;United States of America;Provo, UT;HOMOG (L);0.001;DECOMMISSIONED;1967-09-01T00:00:00
KSU TRIGA Mark II;United States of America;Manhattan, KN;TRIGA MARK II;250;OPERATIONAL;1962-10-16T00:00:00
L-77 Univ. Wyoming;United States of America;Laramie, WY;HOMOG (L);0.01;DECOMMISSIONED;1959-02-01T00:00:00
AGN-211 West Virginia Univ.;United States of America;Morgantown, WV;HOMOG (S);0.075;DECOMMISSIONED;1959-01-01T00:00:00
LCWNR Worcester Polytechnic Inst.;United States of America;Worcester, MA;POOL;10;DECOMMISSIONED;1959-12-18T00:00:00
UT TRIGA Univ. Texas;United States of America;Austin, TX;TRIGA MARK I;250;DECOMMISSIONED;1963-01-01T00:00:00
UTR-10  Iowa State Univ.;United States of America;Ames, IA;ARGONAUT;10;DECOMMISSIONED;1959-10-01T00:00:00
TRIGA II Univ. Texas;United States of America;Austin, TX;TRIGA MARK II;1100;OPERATIONAL;1992-03-12T00:00:00
UC Davis/McClellan TRIGA;United States of America;Sacramento, CA;TRIGA MARK II;2000;OPERATIONAL;1990-01-20T00:00:00
BORAX-1;United States of America;Idaho Falls, ID;EXPERIMENTAL;1400;DECOMMISSIONED;1953-07-01T00:00:00
BORAX-5;United States of America;Idaho Falls, ID;EXPERIMENTAL;20000;DECOMMISSIONED;1962-02-09T00:00:00
"BORAX-2;-3;-4";United States of America;Idaho Falls, ID;EXPERIMENTAL;20000;DECOMMISSIONED;1954-10-01T00:00:00
SEFOR Southwest Exp Fast Oxide Rx;United States of America;West Fork, AR;FAST BREEDER;20000;UNDER DECOMMISSIONING;1969-01-01T00:00:00
Allis-Chalmers Critical Facility;United States of America;Milwaukee, WI;CRIT ASSEMBLY;0.001;DECOMMISSIONED;1959-01-01T00:00:00
S5G Submarine Prototype;United States of America;Idaho Falls, ID;PWR PROPULSION;90;PERMANENT SHUTDOWN;1965-09-01T00:00:00
S1W Submarine Prototype;United States of America;Idaho Falls, ID;PWR;70;PERMANENT SHUTDOWN;1953-05-01T00:00:00
EBOR Beryllium Oxide Reactor;United States of America;Idaho Falls, ID;GAS;10000;DECOMMISSIONED;NA
DORF TRIGA Mark F;United States of America;Silver Spring, MD;TRIGA MARK F;250;DECOMMISSIONED;1961-09-01T00:00:00
WRRR L-54 Walter Reed;United States of America;Washington, DC;HOMOG (L);50;DECOMMISSIONED;1962-09-01T00:00:00
FRMZ;Germany;Mainz;TRIGA MARK II;100;OPERATIONAL;1965-08-03T00:00:00
LVR-15 Rež;Czech Republic;Rež;TANK WWR;10000;OPERATIONAL;1957-09-24T00:00:00
BTRR, BAEC TRIGA Research Reactor;Bangladesh;Dhaka;TRIGA MARK II;3000;OPERATIONAL;1986-09-14T00:00:00
TRIGA Mark I Michigan State Univ.;United States of America;East Lansing, MI;TRIGA MARK I;250;DECOMMISSIONED;1969-03-21T00:00:00
MITR-II Masschusetts Inst. of Tech.;United States of America;Boston;TANK;6000;OPERATIONAL;1958-07-21T00:00:00
RRR Raleigh Research Reactor;United States of America;Starkville, MS;HOMOG (L);0.1;DECOMMISSIONED;1953-09-01T00:00:00
Honeycomb;United States of America;Los Alamos, NM;CRIT ASSEMBLY;0.001;DECOMMISSIONED;1956-01-01T00:00:00
MTS-626;United States of America;Charleston, SC;PWR PROPULSION;78000;OPERATIONAL;1963-04-27T00:00:00
MTS-635;United States of America;Charleston, SC;PWR PROPULSION;78000;OPERATIONAL;1964-12-20T00:00:00
Supercomet;United States of America;Los Alamos, NM;CRIT ASSEMBLY;0.5;DECOMMISSIONED;1963-01-01T00:00:00
Dow TRIGA;United States of America;Midland, MI;TRIGA MARK I;300;OPERATIONAL;1967-07-06T00:00:00
AGN-201 Idaho St. Univ.;United States of America;Pocatello, ID;HOMOG (S);0.005;OPERATIONAL;1967-01-01T00:00:00
Topsy;United States of America;Los Alamos, NM;CRIT FAST;0.6;DECOMMISSIONED;1948-10-01T00:00:00
RER Radiation Effects Reactor;United States of America;Dawsonville, GA;POOL;3000;DECOMMISSIONED;1958-01-01T00:00:00
A1W Prototype Reactor;United States of America;Idaho Falls, ID;PWR PROPULSION;0;PERMANENT SHUTDOWN;1958-10-01T00:00:00
APFA-III Accel Pulsed Fast Crit Assem;United States of America;San Diego, CA;CRIT FAST;1;DECOMMISSIONED;1967-01-01T00:00:00
APFA Accelerator Pulsed Fast Crit Assemb;United States of America;San Diego, CA;FAST, PULSED;0.5;DECOMMISSIONED;1961-01-01T00:00:00
RSG-GAS;Indonesia;Serpong;POOL, MTR;30000;OPERATIONAL;1987-07-29T00:00:00
HANARO;Korea, Republic of;Daejeon;POOL;30000;OPERATIONAL;1995-02-08T00:00:00
Toshiba NCA;Japan;Kawasaki;CRIT ASSEMBLY;0.2;TEMPORARY SHUTDOWN;1963-12-11T00:00:00
JRR-4;Japan;Tokai Mura;POOL;3500;UNDER DECOMMISSIONING;1965-01-28T00:00:00
JOYO;Japan;Oarai;FAST, NA COOLED;140000;TEMPORARY SHUTDOWN;1977-04-24T00:00:00
KUR;Japan;Osaka;TANK;5000;OPERATIONAL;1964-06-25T00:00:00
KUCA;Japan;Osaka;CRIT ASSEMBLY;0.1;OPERATIONAL;1974-08-06T00:00:00
HTTR;Japan;Oarai;HIGH TEMP GAS;30000;OPERATIONAL;1998-10-11T00:00:00
Plutonium Recycle Test Reactor;United States of America;Richland, WA;HEAVY WATER;85000;DECOMMISSIONED;1960-01-01T00:00:00
HTLTR High Temp Lattice Test Reactor;United States of America;Richland, WA;GRAPHITE;2;DECOMMISSIONED;1967-11-01T00:00:00
FFTF, Fast Flux Test;United States of America;Richland, WA;FAST, NA COOLED;400000;UNDER DECOMMISSIONING;1980-02-09T00:00:00
NRF, Neutron Rad Facility;United States of America;Richland, WA;TRIGA MARK I;1000;UNDER DECOMMISSIONING;1977-03-01T00:00:00
PNNL-CML Critical Mass Lab;United States of America;Richland, WA;HOMOG (L);0;DECOMMISSIONED;1961-01-01T00:00:00
PRCF Plutonium Recycle Critical;United States of America;Richland, WA;CRIT ASSEMBLY;10;DECOMMISSIONED;1962-01-01T00:00:00
HTR Hanford Test Reactor;United States of America;Richland, WA;GRAPHITE;0.03;DECOMMISSIONED;1945-02-01T00:00:00
PCTR Physical Constants Test Reactor;United States of America;Richland, WA;GRAPHITE;0.01;DECOMMISSIONED;1955-10-01T00:00:00
ZPR-II NASA;United States of America;Cleveland, OH;HOMOG (L);0.1;DECOMMISSIONED;1963-12-01T00:00:00
NRR Naval Research Reactor;United States of America;Washington, DC;POOL;1000;DECOMMISSIONED;1956-01-01T00:00:00
ZPR-I NASA;United States of America;Cleveland, OH;HOMOG (L);0.1;DECOMMISSIONED;1959-01-01T00:00:00
WTR Westinghouse Test Reactor;United States of America;New Stanton, PA;TANK;20000;DECOMMISSIONED;1959-07-01T00:00:00
WNTR Westinghouse Nuclear Training;United States of America;Zion, IL;TANK;10;DECOMMISSIONED;1972-01-01T00:00:00
Westinghouse PAX Assembly;United States of America;New Stanton, PA;CRIT ASSEMBLY;1000;DECOMMISSIONED;1965-10-01T00:00:00
Westinghouse FCX Assembly;United States of America;New Stanton, PA;CRIT ASSEMBLY;1000;DECOMMISSIONED;1966-04-20T00:00:00
TR, Tank Reservoir;United States of America;Golden, CO;CRIT ASSEMBLY;0.001;DECOMMISSIONED;1965-01-01T00:00:00
ZPPR Zero Power Physics Reactor;United States of America;Idaho Falls, ID;CRIT FAST;1;DECOMMISSIONED;1969-04-18T00:00:00
Janus;United States of America;Lemont, IL;TANK;200;DECOMMISSIONED;1964-08-03T00:00:00
EBR-I;United States of America;Idaho Falls, ID;FAST BREEDER;1200;DECOMMISSIONED;1951-08-01T00:00:00
EBR-II;United States of America;Idaho Falls, ID;FAST BREEDER;62500;DECOMMISSIONED;1961-09-30T00:00:00
UTR Test Reactor;United States of America;Mountain View, CA;ARGONAUT;0.015;DECOMMISSIONED;1961-12-01T00:00:00
GTR Ground Test Reactor;United States of America;Fort Worth, TX;POOL;10000;DECOMMISSIONED;1953-01-01T00:00:00
R-1;Sweden;Stockholm;POOL;600;DECOMMISSIONED;1954-07-13T00:00:00
HFBR;United States of America;Upton, NY;HEAVY WATER;30000;UNDER DECOMMISSIONING;1965-10-31T00:00:00
LITR Low Intensity Test;United States of America;Oak Ridge, TN;TANK;3000;PERMANENT SHUTDOWN;1950-02-01T00:00:00
Dhruva;India;Mumbai;HEAVY WATER;100000;OPERATIONAL;1985-08-08T00:00:00
CIRUS;India;Mumbai;HEAVY WATER;40000;PERMANENT SHUTDOWN;1960-07-10T00:00:00
Tungsten Nuclear Rocket;United States of America;San Diego, CA;CRIT ASSEMBLY;0.05;DECOMMISSIONED;1965-06-01T00:00:00
Thermionic Critical Experiment;United States of America;San Diego, CA;CRIT ASSEMBLY;0.2;DECOMMISSIONED;1968-05-10T00:00:00
EBOR Critical Experiment;United States of America;San Diego;CRIT ASSEMBLY;0.001;DECOMMISSIONED;1960-01-01T00:00:00
TRIGA II Pitesti - SS Core;Romania;Pitesti;TRIGA DUAL CORE;14000;OPERATIONAL;1980-02-02T00:00:00
Nuclear Chicago Mod 9000;Mexico;Mexico City;SUBCRIT;0;OPERATIONAL;1969-01-01T00:00:00
Chicago Modelo 9000;Mexico;Zacatecas;SUBCRIT;0;EXTENDED SHUTDOWN;1969-05-14T00:00:00
TRR-1/M1;Thailand;Bangkok;TRIGA MARK III;1300;OPERATIONAL;1977-11-07T00:00:00
Battelle Plastic Reactor Facility;United States of America;Columbus, OH;CRIT ASSEMBLY;0.2;DECOMMISSIONED;1961-05-01T00:00:00
Battelle Variable Moderator CA;United States of America;Columbus, OH;CRIT ASSEMBLY;0.02;DECOMMISSIONED;1960-01-01T00:00:00
Battelle GCRE CA;United States of America;Columbus, OH;CRIT ASSEMBLY;0.01;DECOMMISSIONED;1958-10-01T00:00:00
Batttelle Reflector Control CA;United States of America;Columbus, OH;CRIT ASSEMBLY;0.01;DECOMMISSIONED;1957-06-03T00:00:00
CX-19 Babcock & Wilcox;United States of America;Lynchburg, VA;CRIT ASSEMBLY;1;DECOMMISSIONED;1958-01-22T00:00:00
CX-12 Babcock & Wilcox;United States of America;Lynchburg, VA;CRIT ASSEMBLY;1;DECOMMISSIONED;1958-09-26T00:00:00
LPR Lynchburg Pool Reactor;United States of America;Lynchburg, VA;POOL;1000;DECOMMISSIONED;1958-09-19T00:00:00
BRR Battelle Research Reactor;United States of America;Columbus, OH;POOL;2000;DECOMMISSIONED;1956-10-01T00:00:00
CX-10 Babcock & Wilcox;United States of America;Lynchburg, VA;CRIT ASSEMBLY;1;DECOMMISSIONED;1958-01-27T00:00:00
MPR Zero Power Test;United States of America;Baltimore;CRIT ASSEMBLY;0.01;DECOMMISSIONED;1957-12-01T00:00:00
LFBR Liquid Fluidized Bed;United States of America;Baltimore;CRIT ASSEMBLY;0.01;DECOMMISSIONED;NA
TTR-2 Thermal Test Reactor;United States of America;Richland, WA;GRAPHITE PILE;1;DECOMMISSIONED;1958-01-01T00:00:00
AMRR Army Material Research Reactor;United States of America;Watertown, MA;POOL;5000;DECOMMISSIONED;1960-06-15T00:00:00
ZPR-9 Argonne;United States of America;Lemont, IL;CRIT FAST;0.001;DECOMMISSIONED;1964-01-01T00:00:00
ARR (L-8) Armour Foundation;United States of America;Chicago, IL;HOMOG (L);100;DECOMMISSIONED;1956-06-28T00:00:00
LAMPRE I;United States of America;Los Alamos, NM;HOMOG PUL;1000;DECOMMISSIONED;1961-02-01T00:00:00
LAPRE II;United States of America;Los Alamos, NM;HOMOG (L);800;DECOMMISSIONED;1959-02-01T00:00:00
LOPO Low Power Boiler;United States of America;Los Alamos, NM;HOMOG (L);0.001;DECOMMISSIONED;1944-05-09T00:00:00
SNAP 10 F-3;United States of America;Simi Valley, CA;SPACE TEST;44;DECOMMISSIONED;1965-01-22T00:00:00
SNAP CA-5;United States of America;Simi Valley, CA;CRIT ASSEMBLY;0.1;DECOMMISSIONED;1964-10-29T00:00:00
SNAP TSF;United States of America;Oak Ridge, TN;SPACE TEST;10;DECOMMISSIONED;1967-04-07T00:00:00
SNAP 8 Experimental Reactor;United States of America;Simi Valley, CA;SPACE TEST;600;DECOMMISSIONED;1963-04-01T00:00:00
SNAP 8 Demonstration Reactor;United States of America;Simi Valley, CA;SPACE TEST;619;DECOMMISSIONED;1969-01-01T00:00:00
SNAP CA-4B;United States of America;Simi Valley, CA;CRIT ASSEMBLY;0.1;DECOMMISSIONED;1962-02-15T00:00:00
SNAP CA-4A;United States of America;Simi Valley, CA;CRIT ASSEMBLY;0.1;DECOMMISSIONED;1962-01-01T00:00:00
SNAP CA-4C;United States of America;Simi Valley, CA;CRIT ASSEMBLY;0.1;DECOMMISSIONED;1962-04-16T00:00:00
SNAP Experimental Reactor;United States of America;Simi Valley, CA;SPACE TEST;50;DECOMMISSIONED;1959-09-01T00:00:00
SNAP 2 Demonstration Reactor;United States of America;Simi Valley, CA;SPACE TEST;65;DECOMMISSIONED;1961-04-03T00:00:00
SGR CA Sodium Graphite;United States of America;Simi Valley, CA;CRIT ASSEMBLY;0.001;DECOMMISSIONED;1957-04-25T00:00:00
ISSA Inherently Safe Subcrit;United States of America;Livermore, CA;SUBCRIT;0;OPERATIONAL;2012-09-13T00:00:00
KARTINI-PSTA;Indonesia;Yogyakarta;TRIGA MARK II;100;OPERATIONAL;1979-01-25T00:00:00
PARR-2;Pakistan;Islamabad;MNSR;30;OPERATIONAL;1989-11-02T00:00:00
Lockheed Critical Experiment Reactor;United States of America;Dawsonville, GA;CRIT ASSEMBLY;0.08;DECOMMISSIONED;1958-06-09T00:00:00
Dalat Research Reactor;Viet Nam;Dalat;POOL;500;OPERATIONAL;1963-02-26T00:00:00
TR-2, Turkish Reactor 2;Türkiye;Istanbul;POOL;5000;EXTENDED SHUTDOWN;1981-12-10T00:00:00
JRTR;Jordan;Amman;TANK IN POOL;5000;OPERATIONAL;2016-04-25T00:00:00
NTU;Greece;Athens;SUBCRIT;0.1;PERMANENT SHUTDOWN;1970-10-10T00:00:00
MARF;United States of America;Ballston Spa, NY;PRESSURIZED;0;OPERATIONAL;1976-01-01T00:00:00
S8G Submarine Prototype;United States of America;Ballston Spa, NY;PWR PROPULSION;0;OPERATIONAL;1979-01-01T00:00:00
S3G Submarine Prototype;United States of America;Ballston Spa, NY;PWR PROPULSION;0;DECOMMISSIONED;1958-01-01T00:00:00
NTG Nuclear Test Gage;United States of America;Aiken, SC;SUBCRIT;0.001;PERMANENT SHUTDOWN;1958-11-01T00:00:00
HWCTR;United States of America;Aiken, SC;HEAVY WATER;61000;DECOMMISSIONED;1962-03-01T00:00:00
ACRR Annular Core RR;United States of America;Albuquerque, NM;TRIGA MODIFIED;2400;OPERATIONAL;1967-06-01T00:00:00
WSUR Washington State Univ.;United States of America;Pullman, WA;TRIGA CONV;1000;OPERATIONAL;1961-03-07T00:00:00
UTR-10 VPI Virginia Tech;United States of America;Blacksburg, VA;ARGONAUT;100;DECOMMISSIONED;1959-12-01T00:00:00
BONUS Mockup Experiment;United States of America;Windsor, CT;CRIT ASSEMBLY;0.001;DECOMMISSIONED;1960-08-05T00:00:00
NUSU Advanced Critical Experiment;United States of America;Windsor, CT;CRIT ASSEMBLY;0.001;DECOMMISSIONED;1960-01-25T00:00:00
CANEL Critical Assembly;United States of America;Middletown, CT;CRIT ASSEMBLY;0.001;DECOMMISSIONED;1957-01-01T00:00:00
ZPR-3 Argonne;United States of America;Idaho Falls, ID;CRIT FAST;0.001;DECOMMISSIONED;1955-10-01T00:00:00
CX-1 Babcock & Wilcox;United States of America;Lynchburg, VA;CRIT ASSEMBLY;1;DECOMMISSIONED;1957-03-20T00:00:00
SRR-1;Syrian Arab Republic;Damascus;MNSR;30;OPERATIONAL;1996-03-04T00:00:00
IKAR-S;Russian Federation;Sarov;CRIT GRAPHITE;0.1;OPERATIONAL;2008-12-01T00:00:00
BIGR;Russian Federation;Sarov;FAST, PULSED;500;OPERATIONAL;1977-03-31T00:00:00
GIR-2;Russian Federation;Sarov;FAST, PULSED;1;OPERATIONAL;1993-04-12T00:00:00
